TableName,FieldName,FieldPosition,IsKey,DataElement,DataType,Length,Decimals,TextLabel
/CPD/D_MP_HDR,PM_BUPA_NAME,57,,,STRG,0,0,Project Manager Name
CRMS4D_SERV_I,AUTO_RENEW_PERIOD_UNIT,83,,CRMS4_AUTO_RENEW_PERIOD_UNIT,UNIT,3,0,Auto Renewal Period UOM
CRMS4D_SERV_I,AUTO_RENEW_EXTEN,84,,CRMS4_AUTO_RENEW_EXTEN_DURA,QUAN,13,0,Contract Extension
CRMS4D_SERV_I,AUTO_RENEW_EXTEN_UNIT,85,,CRMS4_AUTO_RENEW_EXTEN_UNIT,UNIT,3,0,Contract Extension UOM
CRMS4D_SERV_I,AUTO_RENEW_START,86,,CRMS4_AUTO_RENEW_START_DATE,DEC,15,0,Auto Renewal Start Date
CRMS4D_SERV_I,SRQ_WORK_DURA_2,87,,CRMS4_SRQ_WORK_DURA_2,DEC,13,0,Work Duration of Service Transaction
CRMS4D_SERV_I,SRQ_TOT_DURA_2,88,,CRMS4_SRQ_TOT_DURA_2,DEC,13,0,Total Duration of Service Transaction
CRMS4D_SERV_I,SRVC_ACTUAL,89,,CRMS4_SRVC_ACTUAL_TSTMP,DEC,15,0,Service Actual Start Date
CRMS4D_SERV_I,SRVC_ACT_TO,90,,CRMS4_SRVC_ACT_TO_TSTMP,DEC,15,0,Service Actual End Date
CRMS4D_SERV_I,SPLA_PLANFR,91,,CRMS4_SPLA_PLANFR_TSTMP,DEC,15,0,Service Planned From Date
CRMS4D_SERV_I,SPLA_PLANTO,92,,CRMS4_SPLA_PLANTO_TSTMP,DEC,15,0,Service Planned To Date
CRMS4D_SERV_I,ITEM_GUID,94,,CRMT_OBJECT_GUID,RAW,16,0,Object GUID
CRMS4D_SERV_I,CREATED_AT_I,95,,CRMS4_CREATED_AT,DEC,15,0,Created On
CRMS4D_SERV_I,CREATED_BY_I,96,,CRMT_CREATED_BY,CHAR,12,0,Created By
CRMS4D_SERV_I,CHANGED_AT_I,97,,CRMS4_CHANGED_AT,DEC,15,0,Changed On
CRMS4D_SERV_I,CHANGED_BY_I,98,,CRMT_CHANGED_BY,CHAR,12,0,Changed By
CRMS4D_SERV_I,OBJTYPE_I,99,,CRMT_SWO_OBJTYP_PROCESS_ITM_DB,CHAR,10,0,Item Object Type
CRMS4D_SERV_I,HEADER_GUID,100,,CRMT_OBJECT_GUID,RAW,16,0,Object GUID
CRMS4D_SERV_I,PARENT,101,,CRMT_OBJECT_GUID,RAW,16,0,Object GUID
CRMS4D_SERV_I,ALTERNATIVE,102,,CRMT_OBJECT_GUID,RAW,16,0,Object GUID
CRMS4D_SERV_I,PRODUCT,103,,CRMT_PRODUCT_GUID_DB,RAW,16,0,Product GUID
CRMS4D_SERV_I,ORDERED_PROD,104,,CRMT_ORDERED_PROD_DB,CHAR,54,0,Product Name
CRMS4D_SERV_I,PARTNER_PROD,105,,CRMT_ITEM_DESCR_PARTNER,CHAR,40,0,Partner Product
CRMS4D_SERV_I,DESCRIPTION_I,106,,CRMT_PRSHTEXTX_DB,CHAR,40,0,Product Description
CRMS4D_SERV_I,ITM_LANGUAGE,107,,CRMT_ITEM_LANGU,LANG,1,0,Language
CRMS4D_SERV_I,NUMBER_EXT,108,,CRMT_ITEM_NO_EXT,NUMC,10,0,External Item Number
CRMS4D_SERV_I,ITM_TYPE,109,,CRMT_ITEM_TYPE_DB,CHAR,4,0,Item Category
CRMS4D_SERV_I,ORDER_DATE,110,,CRMT_ORDER_DATE,DEC,15,0,Posting Date
CRMS4D_SERV_I,ITM_USAGE,111,,CRMT_ITEM_USAGE,CHAR,2,0,Usage of HL Item
CRMS4D_SERV_I,ITM_TYPE_USAGE,112,,CRMT_IT_TYPE_USAGE,CHAR,4,0,Item Category Usage
CRMS4D_SERV_I,PRODUCT_KIND,113,,CRMT_PRODUCT_KIND,CHAR,1,0,Product Tech. Type
CRMS4D_SERV_I,REVACC_REFID,114,,CRMT_REVACC_REFID,CHAR,30,0,Revenue Accounting Reference ID
CRMS4D_SERV_I,REVACC_REFTYPE,115,,CRMT_REVACC_REFTYPE,CHAR,3,0,Revenue Accounting Reference Type
CRMS4D_SERV_I,REVACC_RELEVANT_TYPE,116,,CRMT_REVACC_RELEVANT_TYPE,CHAR,1,0,Revenue Acc Type
CRMS4D_SERV_I,PRODUCT_ID,117,,PRODUCTNUMBER,CHAR,40,0,Product
CRMS4D_SERV_I,ITEM_GUID_CHAR,118,,CRMT_OBJECT_GUID32,CHAR,32,0,Object GUID
CRMS4D_SERV_I,PROFIT_CENTER,119,,PRCTR,CHAR,10,0,Profit Center
CRMS4D_SERV_I,PROFIT_CENTER_ORIGIN,120,,CRMS4_SRVC_PROFIT_CNTR_ORIGIN,CHAR,1,0,
CRMS4D_SERV_I,KOKRS,121,,KOKRS,CHAR,4,0,Controlling Area
CRMS4D_SERV_I,PROFIT_DETERMINE_DATE,122,,DATUM,DATS,8,0,Date
CRMS4D_SERV_I,REFBUSSOLNORD,123,,CRMS4_REF_SOLO_OBJECT_ID,CHAR,10,0,Reference Solution Order ID
CRMS4D_SERV_I,REFBUSSOLNORDITM,124,,CRMS4_REF_SOLO_NUMBER_INT,NUMC,6,0,Item Number in Referenced Solution Order
CRMS4D_SERV_I,SUBSCRPNBILLGCYCLE,125,,CRMS4_SUBSCRPN_BILLG_CYCLE,CHAR,4,0,Subscription Billing Cycle
CRMS4D_SERV_I,MIDBILLCYCEXPRTNALLWD,126,,CRMS4_MIDBILL_CYC_EXPRTN_ALLWD,CHAR,1,0,Mid-Bill Cycle Expiration Allowed
CRMS4D_SERV_I,DEFAULT_TERMS_OVRWRT,127,,CRMS4_OVRWRT_DEFAULT_TERMS_DB,CHAR,1,0,Overwrite Default Terms
CRMS4D_SERV_I,PROJ_ORG_ID,128,,CRMS4_PROJ_ORG_ID,CHAR,5,0,Service Organization (Project)
CRMS4D_SERV_I,COST_CENTER,129,,KOSTL,CHAR,10,0,Cost Center
CRMS4D_SERV_I,IS_UNPLANNED_ITEM,130,,CRMS4_IS_UNPLANNED_ITEM,CHAR,1,0,Unplanned Item
CRMS4D_SERV_I,REF_SRVC_ORD_ITEM_UUID,131,,CRMS4_REF_SRVC_ORD_ITEM_UUID,RAW,16,0,Reference Service Item GUID
CRMS4D_SERV_I,DIS_CHANNEL,133,,CRMT_DISTRIBUTION_CHANNEL,CHAR,2,0,Distribution Channel
CRMS4D_SERV_I,DIVISION,134,,CRMT_DIVISION,CHAR,2,0,Division
CRMS4D_SERV_I,SERVICE_ORG_ORI,135,,CRMT_SERVICE_ORG_ORIGIN,CHAR,1,0,Origin indicator: Service organization
CRMS4D_SERV_I,SERVICE_ORGR_ORI,136,,CRMT_SERVICE_ORG_RESP_ORIGIN,CHAR,1,0,Origin Indicator Service Scenario OrgUnt
CRMS4D_SERV_I,SALES_ORG_ORI,137,,CRMT_SALES_ORG_ORIGIN,CHAR,1,0,Origin indicator: Sales organization
CRMS4D_SERV_I,DIS_CHANNEL_ORI,138,,CRMT_DIS_CHANNEL_ORIGIN,CHAR,1,0,Origin indicator: Distribution channel
CRMS4D_SERV_I,SALES_OFF_ORI,139,,CRMT_SALES_OFFICE_ORIGIN,CHAR,1,0,Origin indicator: Sales office
CRMS4D_SERV_I,SALES_GROUP_ORI,140,,CRMT_SALES_GROUP_ORIGIN,CHAR,1,0,Origin indicator: Sales group
CRMS4D_SERV_I,SALES_ORGR_ORI,141,,CRMT_SALES_ORG_RESP_ORIGIN,CHAR,1,0,Origin Indicator: Sales Scenario OrgUnit
CRMS4D_SERV_I,DIVISION_ORI,142,,CRMT_DIVISION_ORIGIN,CHAR,1,0,Origin Flag: Division
CRMS4D_SERV_I,SALES_ORG,143,,CRMT_SALES_ORG,CHAR,14,0,Sales Organization ID
CRMS4D_SERV_I,SALES_OFFICE,144,,CRMT_SALES_OFFICE,CHAR,14,0,Sales Office
CRMS4D_SERV_I,SALES_GROUP,145,,CRMT_SALES_GROUP,CHAR,14,0,Sales Group
CRMS4D_SERV_I,SALES_ORG_RESP,146,,CRMT_SALES_ORG_RESP,CHAR,14,0,Organizational Unit (Sales)
CRMS4D_SERV_I,SERVICE_ORG,147,,CRMT_SERVICE_ORG,CHAR,14,0,Service Organization
CRMS4D_SERV_I,SERVICE_ORG_RESP,148,,CRMT_SERVICE_ORG_RESP,CHAR,14,0,Org Unit (Service)
CRMS4D_SERV_I,SALES_ORG_SD,150,,VKORG,CHAR,4,0,Sales Organization
CRMS4D_SERV_I,SALES_OFFICE_SD,151,,VKBUR,CHAR,4,0,Sales Office
CRMS4D_SERV_I,SALES_GROUP_SD,152,,VKGRP,CHAR,3,0,Sales Group
CRMS4D_SERV_I,ENTERPRISE_SERVICE_ORG,154,,CRMS4_ENTERPRISE_SERVICE_ORG,CHAR,4,0,Enterprise Service Organization
CRMS4D_SERV_I,SERVICE_TEAM_RM,155,,CRMS4_SERVICE_TEAM_RM,NUMC,8,0,Service Team
CRMS4D_SERV_I,SERVICE_TEAM_RM_ORI,156,,CRMS4_SERVICE_TEAM_RM_ORIGIN,CHAR,1,0,Origin Indicator Service Team
CRMS4D_SERV_I,PLANNING_PLANT,158,,IWERK,CHAR,4,0,Planning Plant
CRMS4D_SERV_I,WORK_CENTER_OBJECT_ID,159,,LGWID,NUMC,8,0,Work Center
CRMS4D_SERV_I,SOLD_TO_PARTY,161,,CRMT_SOLD_TO_PART,CHAR,10,0,Sold-To Party
CRMS4D_SERV_I,SOLD_TO_REGION,162,,CRMT_REGION,CHAR,3,0,Region
CRMS4D_SERV_I,SOLD_TO_COUNTRY,163,,CRMT_COUNTRY,CHAR,3,0,Country/Region
CRMS4D_SERV_I,SHIP_TO_PARTY,164,,CRMT_SHIP_TO_PART,CHAR,10,0,Ship-To Party
CRMS4D_SERV_I,BILL_TO_PARTY,165,,CRMT_BILL_TO_PART,CHAR,10,0,Bill-To Party
CRMS4D_SERV_I,PAYER,166,,CRMT_RP_PAYER,CHAR,10,0,Payer
CRMS4D_SERV_I,PERSON_RESP,167,,CRMT_PERSON_RESP,CHAR,10,0,Employee Responsible
CRMS4D_SERV_I,CONTACT_PERSON,168,,CRMT_CONTACT_PERSON,CHAR,10,0,Contact Person
CRMS4D_SERV_I,RESP_GROUP,169,,CRMT_RESPONSIBLE_GROUP,CHAR,10,0,Responsible Group
CRMS4D_SERV_I,SERVICE_TEAM,170,,CRMT_SERVICE_TEAM,CHAR,10,0,Service Team
CRMS4D_SERV_I,SERVICE_EMPLOYEE,171,,CRMT_SERVICE_EMPLOYEE,CHAR,10,0,Executing Service Employee
CRMS4D_SERV_I,EXCHG_TYPE,173,,CRMT_EXCHG_TYPE,CHAR,4,0,Exchange Rate Type
CRMS4D_SERV_I,EXCHG_DATE,174,,CRMT_EXCHG_DATE,DATS,8,0,Exchange Rate Date
CRMS4D_SERV_I,TAXJURCODE,175,,CRMT_TAXJURCODE,CHAR,15,0,Jurisdiction Code
CRMS4D_SERV_I,CUST_PRIC_PROC,176,,CRMT_CUST_PRIC_PROC,CHAR,2,0,Cust.Pric.Procedure
CRMS4D_SERV_I,REF_CURRENCY,177,,CRMT_REF_CURRENCY,CUKY,5,0,Reference Currency
CRMS4D_SERV_I,CURRENCY,178,,CRMT_CURRENCY,CUKY,5,0,Currency
CRMS4D_SERV_I,PRICE_DATE,179,,CRMT_PRICE_DATE,DATS,8,0,Pricing Date
CRMS4D_SERV_I,PMNTTRMS,180,,CRMT_PMNTTRMS,CHAR,4,0,Terms of Payment
CRMS4D_SERV_I,PRICE_GRP,181,,CRMT_PRICE_GRP,CHAR,2,0,Price Group (Cust)
CRMS4D_SERV_I,CUST_GROUP,182,,CRMT_CUST_GROUP,CHAR,2,0,Customer Group
CRMS4D_SERV_I,EXCHG_RATE,183,,CRMT_EXCHG_RATE,DEC,9,5,Exchange Rate
CRMS4D_SERV_I,TAX_DEST_CTY,184,,CRMT_TAX_DEST_CTY,CHAR,3,0,Tax Destination Ctry/Reg.
CRMS4D_SERV_I,TAX_DEST_REG,185,,CRMT_REGION,CHAR,3,0,Region
CRMS4D_SERV_I,VAT_REG_NO,186,,CRMT_VAT_REG_NO,CHAR,20,0,Sales tax reg. no
CRMS4D_SERV_I,AC_INDICATOR,187,,CRMT_AC_INDICATOR,CHAR,2,0,Accounting Indicator
CRMS4D_SERV_I,CUSTOMER_TYPE,188,,CRMT_CUSTOMER_TYPE,CHAR,4,0,Partner Type
CRMS4D_SERV_I,PAYMENT_METHOD,189,,CRMT_BUAG_PAYMETH,CHAR,1,0,Payment Method
CRMS4D_SERV_I,PRICE_LIST,190,,CRMT_PRICE_LIST,CHAR,2,0,Price List Type
CRMS4D_SERV_I,PRICING_CONTROL,191,,CRMS4_PRICING_CONTROL,CHAR,1,0,Pricing Control
CRMS4D_SERV_I,TAXK1,192,,TAXK1_AK,CHAR,1,0,Alt.Tax Classific.
CRMS4D_SERV_I,NET_VALUE_MAN_I,194,,CRMT_NET_VALUE_MAN,CURR,15,2,Expected Total Value
CRMS4D_SERV_I,COST_AMOUNT_MAN,195,,CRMT_COST_AMOUNT_MAN,CURR,15,2,Total Expected Cost Amount
CRMS4D_SERV_I,STATISTICAL,196,,CRMT_STATISTICAL,CHAR,1,0,Statistical values
CRMS4D_SERV_I,PRC_INDICATOR,197,,CRMT_PRICING_INDICATOR,CHAR,1,0,Pricing indicator
CRMS4D_SERV_I,NET_VALUE_I,198,,CRMT_NET_VALUE,CURR,15,2,Net Value
CRMS4D_SERV_I,NET_PRICE_I,199,,CRMT_NET_PRICE,CURR,15,2,Net price
CRMS4D_SERV_I,TAX_AMOUNT_I,200,,CRMT_TAX_AMOUNT,CURR,15,2,Tax amount
CRMS4D_SERV_I,FREIGHT_I,201,,CRMT_FREIGHT,CURR,15,2,Shipment costs
CRMS4D_SERV_I,GROSS_VALUE_I,202,,CRMT_GROSS_VALUE,CURR,15,2,Gross Order Value
CRMS4D_SERV_I,NET_WO_FREIGHT_I,203,,PRCT_NET_VALUE_WITHOUT_FREIGHT,CURR,15,2,Item net value
CRMS4D_SERV_I,SUBTOTAL1,204,,CRMT_SUBTOTAL1,CURR,15,2,Subtotal 1
CRMS4D_SERV_I,SUBTOTAL2,205,,CRMT_SUBTOTAL2,CURR,15,2,Subtotal 2
CRMS4D_SERV_I,SUBTOTAL3,206,,CRMT_SUBTOTAL3,CURR,15,2,Subtotal 3
CRMS4D_SERV_I,SUBTOTAL4,207,,CRMT_SUBTOTAL4,CURR,15,2,Subtotal 4
CRMS4D_SERV_I,SUBTOTAL5,208,,CRMT_SUBTOTAL5,CURR,15,2,Subtotal 5
CRMS4D_SERV_I,SUBTOTAL6,209,,CRMT_SUBTOTAL6,CURR,15,2,Subtotal 6
CRMS4D_SERV_I,CREDIT_INDICATOR,210,,CRMT_CREDIT_INDICATOR,CHAR,1,0,Credit indicator
CRMS4D_SERV_I,NETPR_PRIC_UNIT,211,,PRCT_COND_PRICING_UNIT,DEC,5,0,Condition Pricing Unit
CRMS4D_SERV_I,NETPR_UOM,212,,PRCT_COND_UOM,UNIT,3,0,Condition Unit
CRMS4D_SERV_I,TOTAL_DISCOUNT_I,213,,PRCT_COND_VALUE,CURR,15,2,Condition Value
CRMS4D_SERV_I,RECURRING_CHARGE,215,,CRMT_RECURRING_CHARGE,CURR,15,2,Recurring Charge
CRMS4D_SERV_I,RECURRING_TAX,216,,CRMT_RECURRING_TAX,CURR,15,2,Recurring Taxes
CRMS4D_SERV_I,RECURRING_GROSS,217,,CRMT_RECURRING_GROSS,CURR,15,2,Recurring Charge incl. taxes
CRMS4D_SERV_I,REC_DURATION,218,,CRMT_REC_DURATION,DEC,13,0,Recurrence Duration
CRMS4D_SERV_I,REC_TIME_UNIT,219,,CRMT_REC_TIME_UNIT,CHAR,12,0,Recurrence Time Unit
CRMS4D_SERV_I,REC_MAIN_ITM_CUM,220,,CRMT_REC_MAIN_ITEM_CUM,CHAR,1,0,Cum.Rec.Charge itm
CRMS4D_SERV_I,TARGET_VALUE,221,,CRMS4_TARGET_VALUE,CURR,15,2,Target Value
CRMS4D_SERV_I,PRICE_SOURCE,222,,PRICE_SOURCE,CHAR,15,0,Price source
CRMS4D_SERV_I,TAX_DEPART_CTY,223,,CRMT_TAX_DEPART_CTY,CHAR,3,0,Tax departure country
CRMS4D_SERV_I,TAX_DEPART_REG,224,,CRMT_TAX_DEPART_REG,CHAR,3,0,Departure Region for Tax
CRMS4D_SERV_I,GROSS_WEIGHT_I,226,,CRMT_GROSS_WEIGHT,QUAN,15,3,Gross Weight
CRMS4D_SERV_I,NET_WEIGHT_I,227,,CRMT_NET_WEIGHT,QUAN,15,3,Net Weight
CRMS4D_SERV_I,WEIGHT_UNIT_I,228,,COMT_WEIGHT_UNIT,UNIT,3,0,Unit of Weight
KONA,MANDT,1,X,MANDT,CLNT,3,0,Client
KONA,KNUMA,2,X,KNUMA,CHAR,10,0,Agreement
KONA,VKORG,3,,VKORG,CHAR,4,0,Sales Organization
KONA,VTWEG,4,,VTWEG,CHAR,2,0,Distribution Channel
KONA,SPART,5,,SPART,CHAR,2,0,Division
KONA,VKBUR,6,,VKBUR,CHAR,4,0,Sales Office
KONA,VKGRP,7,,VKGRP,CHAR,3,0,Sales Group
KONA,BOART,8,,BOART,CHAR,4,0,Agreement type
KONA,ABTYP,9,,BOABTYP,CHAR,1,0,Agreement category
KONA,KAPPL,10,,KAPPL,CHAR,2,0,Application
KONA,ERNAM,11,,ERNAM,CHAR,12,0,Created By
KONA,ERDAT,12,,ERDAT,DATS,8,0,Created On
KONA,ERZET,13,,ERZET,TIMS,6,0,Time
KONA,AENAM,14,,AENAM,CHAR,12,0,Changed By
KONA,AEDAT,15,,AEDAT,DATS,8,0,Changed On
KONA,AEZET,16,,AEZET,TIMS,6,0,Changed at
KONA,BONEM,17,,BONEM,CHAR,10,0,Rebate recipient
