ElementName,DataType,Length,Decimals,TextLabel
XVKBW,CHAR,000001,000000,SalesPrice valuation
XVWPR,CHAR,000001,000000,Priority usage
AAMEB,CHAR,000001,000000,MD plant man.
AAMEV,CHAR,000001,000000,OD DC manually
ABGEBOT,CHAR,000001,000000,Global perc. bid
ABSTOP,CHAR,000001,000000,Scheduling locked
ARMEL,CHAR,000001,000000,Reply required
AUTPL,CHAR,000001,000000,Automatic planning
AVERL,CHAR,000001,000000,Notif.allowed
BORGR_YEAUN,CHAR,000001,000000,Annual repetition
CALC_PERF,CHAR,000001,000000,Calc. performance
CHAUT,CHAR,000001,000000,Autom.batch determ.
CO_AUTWE,CHAR,000001,000000,Aut. Goods Receipt
CO_CPROT,CHAR,000001,000000,Actual Costs
CO_WIPB_FLG_GM,CHAR,000001,000000,Post Goods Movement
CS_HISCR,CHAR,000001,000000,History reqmt
CS_KZDUM,CHAR,000001,000000,Phantom assembly
CS_KZLFP,CHAR,000001,000000,LT planning off
CS_KZVPL,CHAR,000001,000000,Planning off
CS_MULFL,CHAR,000001,000000,Mult. BOM inactive
CS_VARFL,CHAR,000001,000000,Variant BOM inactive
DETAILED,CHAR,000001,000000,Detailed
DMS_CHECKIN_REQ,CHAR,000001,000000,Check-In Required
DMS_DATACARRIER_INACTIVE,CHAR,000001,000000,Inactive
DTVOR,CHAR,000001,000000,Default current date
EARLY_NUM,CHAR,000001,000000,Early No. Assignment
IMORD,CHAR,000001,000000,Investment Order
I_ANZ_AB,CHAR,000001,000000,Completed notifctns
I_ANZ_OFN,CHAR,000001,000000,OutstandingNotifs
I_CLASS,CHAR,000001,000000,Characteristics
I_CONTRACT,CHAR,000001,000000,Contract
I_INFO_AUT,CHAR,000001,000000,automatically
I_SEL_AB,CHAR,000001,000000,Sel.completed notifs
J_1AMONACC,CHAR,000001,000000,Monetary Items
KAPART_IST,CHAR,000001,000000,No actual value
KAPART_PER,CHAR,000001,000000,Cap.Category Person
KOULPERR,CHAR,000001,000000,Overlapping error
FHMDK,CHAR,000001,000000,PRT
LLMAIL,CHAR,000001,000000,Mail to Vendor
LNSPL,CHAR,000001,000000,Delivry Split - WhNo
LVS_CDTKZ,CHAR,000001,000000,Cross-docking ind.
LVS_FTTKZ,CHAR,000001,000000,Ind.flow-through
LVS_WATKZ,CHAR,000001,000000,Goods issue indic.
LVS_WETKZ,CHAR,000001,000000,Goods receipt ind.
MBWAP,CHAR,000001,000000,Planned goods issue
MBWAU,CHAR,000001,000000,Unplanned GoodsIssue
MBWEB,CHAR,000001,000000,PurchOrderGoodsRcpt
MBWEF,CHAR,000001,000000,Production order
FLG_SCRAP,CHAR,000001,000000,Scrap
FLMAIL,CHAR,000001,000000,Mail to Vendor
MINOL,CHAR,000001,000000,Min. oil product
FOART_NA,CHAR,000001,000000,Update type
MSDRK,CHAR,000001,000000,Milestone automatic.
FRGEX,CHAR,000001,000000,External Release
NF_IM_VB,CHAR,000001,000000,Mess.deter. in UT
NF_NUR_1_MAL_PRO_POS,CHAR,000001,000000,MD once per item
NZ_NZANZPPB,CHAR,000001,000000,Display network
FSH_SEAREF,CHAR,000001,000000,Copied Season Data
PLETX,CHAR,000001,000000,Shift qties exist
POS_PROMO_REBATE,CHAR,000001,000000,Prepare promo.discnt
POS_TAXES_COPY,CHAR,000001,000000,Copy Tax Code & Prce
PS_MSANZ,CHAR,000001,000000,Milestone WBS/Act.
PS_VRGEA,CHAR,000001,000000,Display subnetworks
ROP_BW_READ,CHAR,000001,000000,Read from BW
RTG_ECM,CHAR,000001,000000,Change no. indicator
RTG_ECM_PARAMETER,CHAR,000001,000000,Param. effect. ind.
SEL_OPR,CHAR,000001,000000,Operation select.
SEQUENC,CHAR,000001,000000,Operation sorting
SGACT,CHAR,000001,000000,Execute once
SIDRU,CHAR,000001,000000,Do not print
STAUFG,CHAR,000001,000000,WrkCntr Op set
SUVFP,CHAR,000001,000000,Availability check
VSFLG_MTA,CHAR,000001,000000,MTA-Relevant
WCENTER,CHAR,000001,000000,Work cntr selection
WKZVA,CHAR,000001,000000,MG ref. material
W_AENDB,CHAR,000001,000000,Change plant
W_AENDV,CHAR,000001,000000,Change DC
W_LAY_FLAG,CHAR,000001,000000,No layout assigned
W_LIKON,CHAR,000001,000000,List. cond. Yes/No
W_LSTDVERF,CHAR,000001,000000,Std proc. for checks
W_MIT_BAUS,CHAR,000001,000000,Without modules
W_REASS_1,CHAR,000001,000000,Replen. extern 1 x
W_REASS_2,CHAR,000001,000000,Reple.intern 1 x
W_REASS_FI,CHAR,000001,000000,Replen. Store level
W_REASS_FV,CHAR,000001,000000,Reple.Int.from DC
W_REASS_VZ,CHAR,000001,000000,Externally replen.DC
W_STDV_AUF,CHAR,000001,000000,Std.Proc.Allocation
W_STDV_LAYOUT,CHAR,000001,000000,Standard proc layout
W_STDV_PRM,CHAR,000001,000000,Std.Lst.Pr.Promotion
W_TYPINT,CHAR,000001,000000,Local auto. transfer
W_VKP_FLAG,CHAR,000001,000000,Check for sales pr.
W_VKP_ZERO,CHAR,000001,000000,Zero sales prices OK
XEWRX,CHAR,000001,000000,Post with recpt val.
AAUFG,CHAR,000001,000000,Work center op. set
AUSOK,CHAR,000001,000000,Corr. for.tr.data
BOAVO,CHAR,000001,000000,Rebate proc.active
BPEFF,CHAR,000001,000000,Effective Price
CMPMAN_NEXE,CHAR,000001,000000,Component
CNMS_SUPPRESS_DIALOG,CHAR,000001,000000,Suppress dialog
CRES_CAMPAIGN_PPDS,CHAR,000001,000000,Campaign Relevant
CRES_DEFINE_BUCKETS,CHAR,000001,000000,Bucket Definition
CRES_SNPLC,CHAR,000001,000000,Not Relevant to SNP
CRES_START_ON_GRID,CHAR,000001,000000,Schedule on Grid
CRES_TSTREAM_EXTERNAL,CHAR,000001,000000,External Capacity
CR_AEND,CHAR,000001,000000,Change document
DE_SER_NUMBERING,CHAR,000001,000000,Automatic Numbering
DMS_COMPONENT_USE,CHAR,000001,000000,Additional Files
DMS_CONTENT_VERSION_USE,CHAR,000001,000000,Content Version
DMS_DELETE_LOCK,CHAR,000001,000000,Deletion block
DPCMAN_NEXE,CHAR,000001,000000,DirectProdComponent
I_BELAST,CHAR,000001,000000,Special search help
ETANP,CHAR,000001,000000,Adjust SA Item
J_1ADATCHK,CHAR,000001,000000,Check Date
J_1BMUNICIPAL,CHAR,000001,000000,Municipal Document
KZPIP,CHAR,000001,000000,Pipeline mandatory
LIST_ALL,CHAR,000001,000000,Listing always
LIST_MANU,CHAR,000001,000000,External procedure
LIST_MEHRF,CHAR,000001,000000,Multiple listing
MCAT_ART,CHAR,000001,000000,Transf. mat grp mat.
FLG_ARBEI,CHAR,000001,000000,Ind. work
FLG_CAPTXT,CHAR,000001,000000,CAPP text created
FLG_CHRULE,CHAR,000001,000000,Change rule
FLG_FEAT,CHAR,000001,000000,Ind: Process instr.
FLG_LOEKZ_CHK,CHAR,000001,000000,Author.Check Delete
FLG_PHAS,CHAR,000001,000000,Ind: Sub-operation
FLG_STUELI,CHAR,000001,000000,BOM
FLS_RSTO,CHAR,000001,000000,Enh. Store Return
MLST_INCNW,CHAR,000001,000000,Selection function
MLST_INCPN,CHAR,000001,000000,Selection function
NAUMF_SAP,CHAR,000001,000000,SAP entry
NEW_NUM,CHAR,000001,000000,Renumber
NO_TRIGGER,CHAR,000001,000000,No Trigger File
FZGLS,CHAR,000001,000000,Do Not Adjust CRQ
ONE_OPR,CHAR,000001,000000,Incl. once. complete
OPRMAN_NEXE,CHAR,000001,000000,Operation
GRREL,CHAR,000001,000000,Group requirements
ORD_BANF,CHAR,000001,000000,Collective requisit.
HUM_TARAVAR,CHAR,000001,000000,Tare variable
PID_AUN,CHAR,000001,000000,PID SD document
PID_MAT,CHAR,000001,000000,PID material
PID_PLN,CHAR,000001,000000,PID task list
POSDEX,CHAR,000001,000000,EDI
POSMAN_NEXE,CHAR,000001,000000,Suboperation
PRES,CHAR,000001,000000,ProcInstrMaintenance
PS_TRMEQ,CHAR,000001,000000,Activity dates
QASDR_LOG_ACTIVE,CHAR,000001,000000,Active
QBESTREL,CHAR,000001,000000,Stock-relevant
QEC_CLOSE,CHAR,000001,000000,Close Characteristic
QEC_LOG_SHOW,CHAR,000001,000000,Log Output
QKZAT,CHAR,000001,000000,Share of scrap
QKZAUTOM,CHAR,000001,000000,Automatic import
QKZDYNR,CHAR,000001,000000,DynModRule available
QKZEINDTG,CHAR,000001,000000,Uniqueness check
QKZEQUI,CHAR,000001,000000,Equipment check
QKZKASER,CHAR,000001,000000,Ext. numbering opt.
QKZLOS,CHAR,000001,000000,Lot inspection
QKZMUSER,CHAR,000001,000000,Ext. numbering req.
QKZNOSER,CHAR,000001,000000,No ext. numbering
QKZOHNBEWP,CHAR,000001,000000,Without val. params.
QKZPADR,CHAR,000001,000000,Print insp. instr.
QKZPROCCHAR,CHAR,000001,000000,Process Char.
QKZPTLBEST,CHAR,000001,000000,Last inspection
QKZPZDR,CHAR,000001,000000,Print sample instr.
QKZTAKT,CHAR,000001,000000,Interval-rel. insp.
QLTEXTTLOS,CHAR,000001,000000,Long text
QNKZACTIONBOX,CHAR,000001,000000,From action box
QPRB_MAN,CHAR,000001,000000,SampManuallyCreated
QRBNREQUI,CHAR,000001,000000,Equipment
QRBNRMATNR,CHAR,000001,000000,Material number
QRBNRQMART,CHAR,000001,000000,QN type
QRBNRTCHPL,CHAR,000001,000000,Functional location
QRDKLASPLA,CHAR,000001,000000,Limited mrg.class
QVALUATEENTER,CHAR,000001,000000,Valuate on Enter
QVERDICHTG,CHAR,000001,000000,Reduced SampNo
QWESPERR,CHAR,000001,000000,Goods receipt block
RETOUR,CHAR,000001,000000,Returns
SABWL,CHAR,000001,000000,Immediate processing
SCMPROC,CHAR,000001,000000,SCMPROC
SEREX,CHAR,000001,000000,SerialNo ExistReq.
STOCKFLG,CHAR,000001,000000,Warehouse indicator
VEART,CHAR,000001,000000,Version type
VSSTA,CHAR,000001,000000,Version status
WFKNZ,CHAR,000001,000000,Workflow event
WF_MAT_CHG,CHAR,000001,000000,Workflow for PO chg.
WITH_LIM,CHAR,000001,000000,Also Unplanned
W_ADGEN,CHAR,000001,000000,Additionals
ABARB_WFL,CHAR,000001,000000,Workflow for work
ABDAU_AKT,CHAR,000001,000000,Duration dev. active
ABDAU_WFL,CHAR,000001,000000,Workflow for duratn.
ACTLV,CHAR,000001,000000,Processing stage
ADGE_IRN1,CHAR,000001,000000,Chapter 1.1.3.6
ADGE_IRN1F,CHAR,000001,000000,Chap. 1.1.3.6 fixed
ADGE_TLOCK,CHAR,000001,000000,Block Indicator DG
AUTBN_CUS,CHAR,000001,000000,AutoBatchNumberAlloc
AVRSI,CHAR,000001,000000,Active version
CCC_KNZ,CHAR,000001,000000,CC
CHP_ERF,CHAR,000001,000000,Batch record req.
CUSTFLG,CHAR,000001,000000,Customer indicator
DUMMYENTAR,CHAR,000001,000000,Field deactivated
ILA_GAR,CHAR,000001,000000,Warranty case
ILA_VER,CHAR,000001,000000,Insurance case
ILOM_KZLTX,CHAR,000001,000000,Long text exists
ILOM_REUSE,CHAR,000001,000000,Reusable
ISU_KNZ,CHAR,000001,000000,IS-U
ELSE_KNZ,CHAR,000001,000000,Other data
IS_DRAFT,CHAR,000001,000000,Draft
EQUIP_KNZ,CHAR,000001,000000,EquipmentData exists
ETINA,CHAR,000001,000000,OutpContr. labeling
KLAKZ,CHAR,000001,000000,Classification
FAUSR,CHAR,000001,000000,Outlier correction
KZKSD,CHAR,000001,000000,Serialization data
MANUE,CHAR,000001,000000,ID: manual
MC_VHEAD,CHAR,000001,000000,Rel. version: header
MC_VITEM,CHAR,000001,000000,Rel.version: item
MC_VOPER,CHAR,000001,000000,Rel. version: oper.
FLGEXC,CHAR,000001,000000,Outlier correction
FLG_GPOS,CHAR,000001,000000,Ind.: Graphics items
FLG_MKAL,CHAR,000001,000000,Ind.:Product.version
MIXMAT,CHAR,000001,000000,Mix. matl. allowed
FRKLSKZ,CHAR,000001,000000,Class. system screen
PLANTFLG,CHAR,000001,000000,Plant indicator
PRF_ORIGIN,CHAR,000001,000000,Profile origin
PSP_DARST,CHAR,000001,000000,Display options WBS
PS_ANZKAL,CHAR,000001,000000,Non-working time
PS_VGTYP,CHAR,000001,000000,Activity type
QEC_QA_ACTIV,CHAR,000001,000000,Control in Insp. Lot
QEC_QE_ACTIV,CHAR,000001,000000,Control in RR
QRMDE,CHAR,000001,000000,QM results recording
QTRACELEVEL,CHAR,000001,000000,Tracking level
RU_LPROPTIME,CHAR,000001,000000,Time of default
RU_MPROPTIME,CHAR,000001,000000,Time of default val.
SA_LABOR,CHAR,000001,000000,Activities
SERSTATUS,CHAR,000001,000000,Status
SGT_REOF,CHAR,000001,000000,Reorg. Flag
SIANL,CHAR,000001,000000,Address
SIEIN,CHAR,000001,000000,Schedule Line
SIGN_TYPE_UD,CHAR,000001,000000,Signature Type U.D.
SIKNT,CHAR,000001,000000,Account assignment
SIKON,CHAR,000001,000000,Condition
SSTCK,CHAR,000001,000000,Opening stock
STARS,CHAR,000001,000000,Initialization type
STOPS,CHAR,000001,000000,End rule
STRGA,CHAR,000001,000000,Pric. strategy type
STTRG_TPS,CHAR,000001,000000,Ov.transport status
TPSSF,CHAR,000001,000000,Status filter mode
TZONSMID,CHAR,000001,000000,Time zone origin
VARANZDB,CHAR,000001,000000,Display variants
VLSTP,CHAR,000001,000000,Decentralized whse
VRG_DARST,CHAR,000001,000000,Operation display
VTDWM,CHAR,000001,000000,Distribution Dec.WMS
/BEV1/RPSFA,CHAR,000001,000000,Total Category 1
/BEV1/RPSKI,CHAR,000001,000000,Total Category 2
